Points_0,Points_1,Points_2
1.03992,0.0001,0.0188708
1.03983,0.0001,0.0185157
1.03973,0.0001,0.0181583
1.03901,0.0001,0.0167109
1.03855,0.0001,0.0166794
1.03936,0.0001,0.016986
1.03952,0.0001,0.0173881
1.03963,0.0001,0.0177768
1.04013,0.0001,0.01661
1.04023,0.0001,0.0169678
1.04032,0.0001,0.0173106
1.04042,0.0001,0.0176707
1.0405,0.0001,0.017998
1.04059,0.0001,0.0183408
1.04068,0.0001,0.0186661
1.0403,0.0001,0.0187686
1.04013,0.0001,0.0161238
1.04013,0.0001,0.0156362
1.04013,0.0001,0.00810844
1.04013,0.0001,0.00916786
1.04013,0.0001,0.0066199
1.04013,0.0001,0.0103155
1.04013,0.0001,0.0111018
1.04013,0.0001,0.0120011
1.04013,0.0001,0.0125749
1.04013,0.0001,0.0131733
1.04013,0.0001,0.0136491
1.04013,0.0001,0.0141833
1.04013,0.0001,0.0146596
1.04013,0.0001,0.0151561
1.04013,0.0001,0.00179265
1.04013,0.0001,0.00347843
1.04013,0.0001,1.69492e-11
1.04013,0.0001,0.00519556
0.00690042,0.0001,0.000597433
0.0143818,0.0001,0.00272009
0.0132835,0.0001,0.00251438
0.0123523,0.0001,0.00234117
0.0154216,0.0001,0.00290703
0.0167876,0.0001,0.00315579
0.0180485,0.0001,0.0033893
0.18818,0.0001,0.0249406
0.184343,0.0001,0.0246638
0.18076,0.0001,0.0243965
0.191946,0.0001,0.0252028
0.195814,0.0001,0.0254626
0.199661,0.0001,0.0257117
0.20351,0.0001,0.0259512
0.207345,0.0001,0.0261804
0.562778,0.0001,0.0285685
0.558871,0.0001,0.0285685
0.554965,0.0001,0.0285685
0.566684,0.0001,0.0285685
0.57059,0.0001,0.0285685
0.574496,0.0001,0.0285685
0.969007,0.0001,0.0285684
0.965108,0.0001,0.0285684
0.961213,0.0001,0.0285685
0.972855,0.0001,0.0285683
0.976736,0.0001,0.0285682
0.980455,0.0001,0.0285679
0.984284,0.0001,0.0285678
0.987787,0.0001,0.0285675
0.991508,0.0001,0.0285673
0.994794,0.0001,0.0283932
0.0196024,0.0001,0.00367632
0.0210181,0.0001,0.00393728
0.211099,0.0001,0.0263953
0.214866,0.0001,0.026602
0.344027,0.0001,0.0285685
0.340121,0.0001,0.0285685
0.336215,0.0001,0.0285685
0.347934,0.0001,0.0285685
0.35184,0.0001,0.0285685
0.355746,0.0001,0.0285685
0.359652,0.0001,0.0285685
0.363559,0.0001,0.0285685
0.367465,0.0001,0.0285685
0.371371,0.0001,0.0285685
0.437777,0.0001,0.0285685
0.433871,0.0001,0.0285685
0.429965,0.0001,0.0285685
0.441684,0.0001,0.0285685
0.44559,0.0001,0.0285685
0.449496,0.0001,0.0285685
0.578403,0.0001,0.0285685
0.582309,0.0001,0.0285685
0.586215,0.0001,0.0285685
0.590121,0.0001,0.0285685
0.750278,0.0001,0.0285685
0.746371,0.0001,0.0285685
0.742465,0.0001,0.0285685
0.754184,0.0001,0.0285685
0.75809,0.0001,0.0285685
0.761996,0.0001,0.0285685
0.812778,0.0001,0.0285685
0.808871,0.0001,0.0285685
0.804965,0.0001,0.0285685
0.816684,0.0001,0.0285685
0.82059,0.0001,0.0285685
0.824496,0.0001,0.0285685
0.0226323,0.0001,0.00422931
0.0242094,0.0001,0.00451073
0.0258784,0.0001,0.00480894
0.124099,0.0001,0.0190606
0.120786,0.0001,0.0186838
0.117151,0.0001,0.0182621
0.12773,0.0001,0.019466
0.130962,0.0001,0.0198205
0.134604,0.0001,0.0202098
0.13795,0.0001,0.0205589
0.453402,0.0001,0.0285685
0.457309,0.0001,0.0285685
0.461215,0.0001,0.0285685
0.465121,0.0001,0.0285685
0.765903,0.0001,0.0285685
0.769809,0.0001,0.0285685
0.773715,0.0001,0.0285685
0.777621,0.0001,0.0285685
0.828403,0.0001,0.0285685
0.832309,0.0001,0.0285685
0.836215,0.0001,0.0285685
0.840121,0.0001,0.0285685
0.0592574,0.0001,0.0103778
0.0576539,0.0001,0.0101279
0.0559079,0.0001,0.00985358
0.0610182,0.0001,0.0106504
0.062661,0.0001,0.0109029
0.0643833,0.0001,0.0111657
0.0660551,0.0001,0.0114194
0.141685,0.0001,0.0209412
0.145213,0.0001,0.0212942
0.148918,0.0001,0.0216558
0.152557,0.0001,0.0220022
0.375277,0.0001,0.0285685
0.379184,0.0001,0.0285685
0.38309,0.0001,0.0285685
0.386996,0.0001,0.0285685
0.0275543,0.0001,0.00510668
0.0291797,0.0001,0.00539314
0.0309199,0.0001,0.0056987
0.032495,0.0001,0.00597454
0.0342175,0.0001,0.00627284
0.0677144,0.0001,0.01167
0.0693604,0.0001,0.0119158
0.0710176,0.0001,0.012161
0.0726917,0.0001,0.0124071
0.390902,0.0001,0.0285685
0.394809,0.0001,0.0285685
0.398715,0.0001,0.0285685
0.402621,0.0001,0.0285685
1.00111,0.0001,0.0267031
0.998143,0.0001,0.0274986
1.0042,0.0001,0.0258747
1.00712,0.0001,0.0250938
1.00978,0.0001,0.0243803
1.01715,0.0001,0.0224086
1.01468,0.0001,0.0230668
1.01253,0.0001,0.0236429
1.02393,0.0001,0.0205935
1.02225,0.0001,0.0210444
1.0208,0.0001,0.0214326
1.02535,0.0001,0.020212
1.01884,0.0001,0.0219584
0.0358284,0.0001,0.00654925
0.0375417,0.0001,0.00684145
0.039217,0.0001,0.00712497
0.0408694,0.0001,0.0074031
0.656528,0.0001,0.0285685
0.652621,0.0001,0.0285685
0.648715,0.0001,0.0285685
0.660434,0.0001,0.0285685
0.66434,0.0001,0.0285685
0.668246,0.0001,0.0285685
0.672153,0.0001,0.0285685
0.676059,0.0001,0.0285685
0.679965,0.0001,0.0285685
0.683871,0.0001,0.0285685
0.906528,0.0001,0.0285685
0.902621,0.0001,0.0285685
0.898715,0.0001,0.0285685
0.910434,0.0001,0.0285685
0.91434,0.0001,0.0285685
0.918246,0.0001,0.0285685
0.922153,0.0001,0.0285685
0.926059,0.0001,0.0285685
1.03069,0.0001,0.0187802
1.02949,0.0001,0.0191031
1.02819,0.0001,0.0194521
1.0318,0.0001,0.0184829
0.0743953,0.0001,0.012656
0.0761585,0.0001,0.0129118
0.0779997,0.0001,0.0131769
0.0799742,0.0001,0.0134564
0.0821606,0.0001,0.0137564
0.0846181,0.0001,0.0140983
0.0872827,0.0001,0.0144666
0.090091,0.0001,0.0148488
0.218425,0.0001,0.0267889
0.22211,0.0001,0.0269736
0.225448,0.0001,0.0271335
0.229105,0.0001,0.0273007
0.281542,0.0001,0.028568
0.277641,0.0001,0.0285678
0.273749,0.0001,0.0285675
0.28544,0.0001,0.0285682
0.289344,0.0001,0.0285683
0.293248,0.0001,0.0285684
0.594028,0.0001,0.0285685
0.597934,0.0001,0.0285685
0.60184,0.0001,0.0285685
0.605746,0.0001,0.0285685
0.609653,0.0001,0.0285685
0.613559,0.0001,0.0285685
0.617465,0.0001,0.0285685
0.621371,0.0001,0.0285685
0.929965,0.0001,0.0285685
0.933871,0.0001,0.0285685
1.02683,0.0001,0.019817
1.03422,0.0001,0.0178373
1.03355,0.0001,0.0180168
1.03272,0.0001,0.0182393
1.03481,0.0001,0.0176796
0.232334,0.0001,0.0274422
0.236002,0.0001,0.0275938
0.239345,0.0001,0.0277235
0.243126,0.0001,0.0278612
0.246712,0.0001,0.0279836
0.297153,0.0001,0.0285684
0.301059,0.0001,0.0285685
0.304965,0.0001,0.0285685
0.308871,0.0001,0.0285685
0.469027,0.0001,0.0285685
0.472934,0.0001,0.0285685
0.47684,0.0001,0.0285685
0.480746,0.0001,0.0285685
0.687778,0.0001,0.0285685
0.691684,0.0001,0.0285685
0.69559,0.0001,0.0285685
0.699496,0.0001,0.0285685
0.703403,0.0001,0.0285685
0.707309,0.0001,0.0285685
0.711215,0.0001,0.0285685
0.715121,0.0001,0.0285685
0.844028,0.0001,0.0285685
0.847934,0.0001,0.0285685
0.85184,0.0001,0.0285685
0.855746,0.0001,0.0285685
0.859653,0.0001,0.0285685
0.863559,0.0001,0.0285685
1.03605,0.0001,0.0173495
1.03567,0.0001,0.0174509
1.03528,0.0001,0.0175566
1.03645,0.0001,0.0172434
1.03683,0.0001,0.0171398
1.03766,0.0001,0.0169182
1.03725,0.0001,0.0170289
1.0381,0.0001,0.0167991
0.0426061,0.0001,0.00769423
0.0441926,0.0001,0.00795904
0.484652,0.0001,0.0285685
0.488559,0.0001,0.0285685
0.492465,0.0001,0.0285685
0.496371,0.0001,0.0285685
0.867465,0.0001,0.0285685
0.871371,0.0001,0.0285685
0.937778,0.0001,0.0285685
0.941684,0.0001,0.0285685
0.94559,0.0001,0.0285685
0.949496,0.0001,0.0285685
0.953402,0.0001,0.0285685
0.957308,0.0001,0.0285685
0.00726872,0.0001,0.00112448
0.00780989,0.0001,0.00145837
0.00847918,0.0001,0.00160373
0.00915818,0.0001,0.00173072
0.250568,0.0001,0.0281067
0.254338,0.0001,0.028218
0.258218,0.0001,0.0283225
0.262077,0.0001,0.028417
0.312777,0.0001,0.0285685
0.316684,0.0001,0.0285685
0.32059,0.0001,0.0285685
0.324496,0.0001,0.0285685
0.328402,0.0001,0.0285685
0.332309,0.0001,0.0285685
0.625278,0.0001,0.0285685
0.629184,0.0001,0.0285685
0.63309,0.0001,0.0285685
0.636996,0.0001,0.0285685
0.640903,0.0001,0.0285685
0.644809,0.0001,0.0285685
0.0459173,0.0001,0.0082437
0.0475335,0.0001,0.00850816
0.0492501,0.0001,0.00878743
0.265968,0.0001,0.0285024
0.269852,0.0001,0.0285673
0.500278,0.0001,0.0285685
0.504184,0.0001,0.0285685
0.50809,0.0001,0.0285685
0.511996,0.0001,0.0285685
0.875278,0.0001,0.0285685
0.879184,0.0001,0.0285685
0.88309,0.0001,0.0285685
0.886996,0.0001,0.0285685
0.890903,0.0001,0.0285685
0.894809,0.0001,0.0285685
0.0509286,0.0001,0.00905857
0.0525807,0.0001,0.0093237
0.054323,0.0001,0.00960183
0.156105,0.0001,0.0223317
0.159748,0.0001,0.0226615
0.163094,0.0001,0.022957
0.166732,0.0001,0.0232703
0.515903,0.0001,0.0285685
0.519809,0.0001,0.0285685
0.523715,0.0001,0.0285685
0.527621,0.0001,0.0285685
0.0931852,0.0001,0.0152642
0.0962814,0.0001,0.0156749
0.169976,0.0001,0.0235433
0.173627,0.0001,0.0238407
0.176989,0.0001,0.0241064
0.531528,0.0001,0.0285685
0.535434,0.0001,0.0285685
0.53934,0.0001,0.0285685
0.543246,0.0001,0.0285685
0.0996606,0.0001,0.0161142
0.102989,0.0001,0.0165372
0.106584,0.0001,0.0169867
0.547153,0.0001,0.0285685
0.551059,0.0001,0.0285685
0.719028,0.0001,0.0285685
0.722934,0.0001,0.0285685
0.72684,0.0001,0.0285685
0.730746,0.0001,0.0285685
0.781528,0.0001,0.0285685
0.785434,0.0001,0.0285685
0.78934,0.0001,0.0285685
0.793246,0.0001,0.0285685
0.00992579,0.0001,0.00187963
0.0106683,0.0001,0.00202577
0.0114676,0.0001,0.0021778
0.110057,0.0001,0.0174142
0.113707,0.0001,0.0178548
0.406527,0.0001,0.0285685
0.410434,0.0001,0.0285685
0.41434,0.0001,0.0285685
0.418246,0.0001,0.0285685
0.422152,0.0001,0.0285685
0.426059,0.0001,0.0285685
0.734653,0.0001,0.0285685
0.738559,0.0001,0.0285685
0.797153,0.0001,0.0285685
0.801059,0.0001,0.0285685
